simulated_time,server_utilization,avg_queue_length,avg_system_length,throughput,mean_wait_A,mean_wait_B,mean_wait_total,mean_sojourn_A,mean_sojourn_B,mean_sojourn_total,p95_wait_total,drop_rate_total,drop_rate_A,drop_rate_B,promoted_fraction_A,completed_A,completed_B,cenario,grupo,rep_id
33255.05862972924,0.7488762148415339,2.24100821006942,2.989884424910994,0.7517653262427446,3.5858151358040895,1.7883212010039728,2.980994376622547,4.580510601668395,2.787359960301127,3.9771512738611356,11.248202436216161,0.0,0.0,0.0,0.34181335905473836,16588,8412,prioridade_dinamica_T4,sensibilidade_T,0
33410.555922167994,0.7471865020794919,2.4183603127547957,3.1655468148343067,0.7482665076941276,3.812777890286932,2.0698308764160767,3.2318885095040653,4.805040734451313,3.0809781790426314,4.230445165984684,12.737576156669093,0.0,0.0,0.0,0.3426120343151959,16668,8332,prioridade_dinamica_T4,sensibilidade_T,1
33510.833070412074,0.7373893070856715,2.200143604612972,2.937532911698637,0.7460274099265352,3.4938043390197318,1.8663689624465347,2.9490691697731544,4.483102225781232,2.853047681977703,3.9374903688793292,11.790127132524503,0.0,0.0,0.0,0.31653940960740695,16632,8368,prioridade_dinamica_T4,sensibilidade_T,2
33319.94479590134,0.7605321757903363,2.465712662005536,3.226244837795856,0.7503013631365688,3.9255683971281994,2.041810718247272,3.2862963912231535,4.942850722150429,3.048347167183333,4.2999319957367845,12.990820646573411,0.0,0.0,0.0,0.35741099539840154,16516,8484,prioridade_dinamica_T4,sensibilidade_T,3
33082.199264603594,0.7608541986228928,2.375370003283228,3.136224201906121,0.7556934108292138,3.732146289935907,1.9377842341825307,3.142806016344259,4.739366894922471,2.9438131555116294,4.149635224750387,11.70089190301951,0.0,0.0,0.0,0.3424249642686994,16789,8211,prioridade_dinamica_T4,sensibilidade_T,4
33583.86708704312,0.7448768395024361,2.1663804118850716,2.911257251387553,0.7444050423140569,3.5132343093946017,1.715758940115629,2.9102172725088846,4.5128665463045055,2.71837661297625,3.9108510634715254,11.058222649520758,0.0,0.0,0.0,0.33810871004634924,16613,8387,prioridade_dinamica_T4,sensibilidade_T,5
33669.48336414395,0.7432404594666931,2.1378801562932845,2.8811206157599587,0.7425121356814033,3.4243616837731587,1.789749179914021,2.8786626454848308,4.432661479000906,2.776125587276677,3.8796435369076696,11.251243744967724,0.0,0.0,0.0,0.31998799519807924,16654,8346,prioridade_dinamica_T4,sensibilidade_T,6
33255.05862972924,0.7488762148415339,2.24100821006942,2.989884424910994,0.7517653262427446,3.420588896757741,2.114138230640326,2.9809943766225593,4.415282626221136,3.1131804140243093,3.9771512738611716,10.936158064367191,0.0,0.0,0.0,0.4862551241861587,16588,8412,dinamica_servico_exponencial,distribuicoes_servico,0
33410.555922167994,0.7471865020794919,2.4183603127547957,3.1655468148343067,0.7482665076941276,3.644860235304989,2.405746799752474,3.2318885095040475,4.637869247173468,3.4154014087530395,4.230445165984683,12.549458710040213,0.0,0.0,0.0,0.4860519527266183,16668,8332,dinamica_servico_exponencial,distribuicoes_servico,1
33510.833070412074,0.7373893070856715,2.200143604612972,2.937532911698637,0.7460274099265352,3.33496329920252,2.1820769182591317,2.9490691697731592,4.327388608599633,3.1625396610604772,3.937490368879343,11.534684065016336,0.0,0.0,0.0,0.46449828653880837,16632,8368,dinamica_servico_exponencial,distribuicoes_servico,2
